index,current_price,make,model,year,title_status,mileage
117,9200,ford,door,2017,clean vehicle,21770.0
118,26500,chrysler,pacifica,2017,clean vehicle,18375.0
119,24802,chevrolet,colorado,2017,clean vehicle,14158.0
120,7070,ford,mpv,2017,clean vehicle,30318.0
121,28500,ford,door,2017,clean vehicle,48086.0
122,47500,cadillac,door,2017,clean vehicle,26562.0
123,23500,ford,explorer,2017,clean vehicle,57611.0
124,23505,chevrolet,colorado,2017,clean vehicle,47357.0
125,10940,ford,door,2017,clean vehicle,84916.0
126,32100,ford,f-150,2017,clean vehicle,24521.0
127,53000,chevrolet,3500,2018,clean vehicle,16105.0
128,6830,ford,mpv,2017,clean vehicle,35888.0
129,11900,dodge,caravan,2017,clean vehicle,59537.0
130,26414,chevrolet,1500,2017,clean vehicle,55222.0
131,4160,dodge,mpv,2018,clean vehicle,32870.0
132,19405,chevrolet,door,2017,clean vehicle,39687.0
133,5690,dodge,mpv,2018,clean vehicle,47085.0
134,25900,chrysler,van,2017,clean vehicle,32224.0
135,24005,chevrolet,1500,2017,clean vehicle,51293.0
136,5090,dodge,mpv,2018,clean vehicle,42989.0
137,19500,chrysler,300,2017,clean vehicle,31311.0
138,32012,chevrolet,1500,2017,clean vehicle,46091.0
139,6800,dodge,dart,2016,clean vehicle,49033.0
140,4260,dodge,mpv,2018,clean vehicle,33957.0
142,31802,chevrolet,2500,2017,clean vehicle,19845.0
143,7210,dodge,doors,2018,clean vehicle,38910.0
145,28402,chevrolet,1500,2017,clean vehicle,31234.0
146,6800,dodge,doors,2018,clean vehicle,36767.0
147,33300,cadillac,esv,2015,clean vehicle,57932.0
148,10780,dodge,mpv,2018,clean vehicle,19420.0
149,6700,ford,cutaway,2014,clean vehicle,204155.0
150,20000,chevrolet,1500,2016,clean vehicle,93493.0
151,6440,chrysler,doors,2018,clean vehicle,20942.0
152,19900,ford,door,2016,clean vehicle,86826.0
153,37000,chevrolet,door,2015,clean vehicle,45787.0
154,4040,dodge,mpv,2018,clean vehicle,50765.0
155,22300,ford,explorer,2016,clean vehicle,62774.0
156,31200,chevrolet,door,2011,clean vehicle,76326.0
157,4290,dodge,mpv,2018,clean vehicle,39029.0
158,22800,ford,el,2016,clean vehicle,72885.0
159,19002,cadillac,door,2016,clean vehicle,46467.0
160,4160,dodge,mpv,2018,clean vehicle,6743.0
161,18500,ford,edge,2016,clean vehicle,33514.0
162,39000,bmw,series,2016,clean vehicle,39917.0
163,6060,dodge,doors,2018,clean vehicle,32504.0
164,28800,ford,door,2016,clean vehicle,77638.0
165,40000,bmw,series,2016,clean vehicle,31727.0
166,6140,dodge,doors,2018,clean vehicle,52966.0
167,21000,ford,flex,2016,clean vehicle,24157.0
168,20105,buick,door,2016,clean vehicle,51393.0
169,6760,dodge,doors,2018,clean vehicle,35461.0
170,25800,ford,door,2014,clean vehicle,47055.0
171,39000,bmw,series,2016,clean vehicle,33110.0
172,5470,dodge,mpv,2018,clean vehicle,39721.0
173,14600,ford,door,2014,clean vehicle,75785.0
174,24502,chevrolet,1500,2016,clean vehicle,33624.0
175,15110,ford,door,2017,clean vehicle,42289.0
176,7900,ford,door,2014,clean vehicle,79422.0
